split_id,model_seed,related_pair_count,layer,linear_cka,anchor_run_id,other_run_id
s2,101,0,final_norm,0.18327643157081772,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r0-transformer-seed101
s2,101,1,embedding,0.9229535278112629,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r1-transformer-seed101
s2,101,1,block_01,0.5797245699670703,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r1-transformer-seed101
s2,101,1,block_02,0.6692589647750768,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r1-transformer-seed101
s2,101,1,block_03,0.5168667592583293,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r1-transformer-seed101
s2,101,1,block_04,0.17183729035681178,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r1-transformer-seed101
s2,101,1,final_norm,0.1439402284012759,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r1-transformer-seed101
s2,101,2,embedding,0.9245226195941665,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r2-transformer-seed101
s2,101,2,block_01,0.1338759173562509,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r2-transformer-seed101
s2,101,2,block_02,0.3267459157035846,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r2-transformer-seed101
s2,101,2,block_03,0.3228951099465198,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r2-transformer-seed101
s2,101,2,block_04,0.18318563541584323,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r2-transformer-seed101
s2,101,2,final_norm,0.21628659802423378,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r2-transformer-seed101
