pair_id,task_left,task_right,model_seed,condition,applied_transform,layer,linear_cka
run_complement,longest_increasing_run,longest_decreasing_run,42,identity,identity,final_norm,0.07455939077045053
run_complement,longest_increasing_run,longest_decreasing_run,42,correct,complement,embedding,0.738493051282222
run_complement,longest_increasing_run,longest_decreasing_run,42,correct,complement,block_01,0.710390686354977
run_complement,longest_increasing_run,longest_decreasing_run,42,correct,complement,block_02,0.8047276498547304
run_complement,longest_increasing_run,longest_decreasing_run,42,correct,complement,block_03,0.39113292940336997
run_complement,longest_increasing_run,longest_decreasing_run,42,correct,complement,block_04,0.8893454249131544
run_complement,longest_increasing_run,longest_decreasing_run,42,correct,complement,final_norm,0.9063317734905383
run_complement,longest_increasing_run,longest_decreasing_run,42,wrong,inverse,embedding,0.738493051282222
run_complement,longest_increasing_run,longest_decreasing_run,42,wrong,inverse,block_01,0.7113531669772526
run_complement,longest_increasing_run,longest_decreasing_run,42,wrong,inverse,block_02,0.7446698646921066
run_complement,longest_increasing_run,longest_decreasing_run,42,wrong,inverse,block_03,0.28054149569518577
run_complement,longest_increasing_run,longest_decreasing_run,42,wrong,inverse,block_04,0.06668104022276537
run_complement,longest_increasing_run,longest_decreasing_run,42,wrong,inverse,final_norm,0.07572814937605185
run_complement,longest_increasing_run,longest_decreasing_run,101,identity,identity,embedding,0.8198022522021006
run_complement,longest_increasing_run,longest_decreasing_run,101,identity,identity,block_01,0.7721061596331485
run_complement,longest_increasing_run,longest_decreasing_run,101,identity,identity,block_02,0.7411997496754387
run_complement,longest_increasing_run,longest_decreasing_run,101,identity,identity,block_03,0.37210896310940056
run_complement,longest_increasing_run,longest_decreasing_run,101,identity,identity,block_04,0.0524290701509283
run_complement,longest_increasing_run,longest_decreasing_run,101,identity,identity,final_norm,0.04664853681507126
run_complement,longest_increasing_run,longest_decreasing_run,101,correct,complement,embedding,0.8198022522021006
run_complement,longest_increasing_run,longest_decreasing_run,101,correct,complement,block_01,0.8304542666472039
run_complement,longest_increasing_run,longest_decreasing_run,101,correct,complement,block_02,0.8939502591953052
run_complement,longest_increasing_run,longest_decreasing_run,101,correct,complement,block_03,0.7289820084952118
run_complement,longest_increasing_run,longest_decreasing_run,101,correct,complement,block_04,0.9020652033035855
run_complement,longest_increasing_run,longest_decreasing_run,101,correct,complement,final_norm,0.9255843390013132
run_complement,longest_increasing_run,longest_decreasing_run,101,wrong,inverse,embedding,0.8198022522021006
run_complement,longest_increasing_run,longest_decreasing_run,101,wrong,inverse,block_01,0.7699184854131803
run_complement,longest_increasing_run,longest_decreasing_run,101,wrong,inverse,block_02,0.7567221912815839
run_complement,longest_increasing_run,longest_decreasing_run,101,wrong,inverse,block_03,0.3866002032007382
run_complement,longest_increasing_run,longest_decreasing_run,101,wrong,inverse,block_04,0.05598345717119721
run_complement,longest_increasing_run,longest_decreasing_run,101,wrong,inverse,final_norm,0.049709871825645485
record_complement,left_to_right_maxima,left_to_right_minima,17,identity,identity,embedding,0.7344666453904551
record_complement,left_to_right_maxima,left_to_right_minima,17,identity,identity,block_01,0.08543674811516448
record_complement,left_to_right_maxima,left_to_right_minima,17,identity,identity,block_02,0.07148518066004564
record_complement,left_to_right_maxima,left_to_right_minima,17,identity,identity,block_03,0.042929681446228
record_complement,left_to_right_maxima,left_to_right_minima,17,identity,identity,block_04,0.03950258703516143
record_complement,left_to_right_maxima,left_to_right_minima,17,identity,identity,final_norm,0.03485680108088742
record_complement,left_to_right_maxima,left_to_right_minima,17,correct,complement,embedding,0.7344666453904551
record_complement,left_to_right_maxima,left_to_right_minima,17,correct,complement,block_01,0.1041568961273994
record_complement,left_to_right_maxima,left_to_right_minima,17,correct,complement,block_02,0.17061046777921493
record_complement,left_to_right_maxima,left_to_right_minima,17,correct,complement,block_03,0.31214727358056604
record_complement,left_to_right_maxima,left_to_right_minima,17,correct,complement,block_04,0.3031243690894161
record_complement,left_to_right_maxima,left_to_right_minima,17,correct,complement,final_norm,0.3341956355880367
record_complement,left_to_right_maxima,left_to_right_minima,17,wrong,inverse,embedding,0.7344666453904551
record_complement,left_to_right_maxima,left_to_right_minima,17,wrong,inverse,block_01,0.08892283075505499
