comparison,task_a,task_b,seed_a,seed_b,same_seed,layer,linear_cka
no_direct_relation,descents,peaks,42,101,False,block_04,0.28591946157296094
no_direct_relation,descents,peaks,42,101,False,final_norm,0.2105560326328969
no_direct_relation,descents,peaks,101,17,False,embedding,0.8617137699940808
no_direct_relation,descents,peaks,101,17,False,block_01,0.6378245386402968
no_direct_relation,descents,peaks,101,17,False,block_02,0.5019561050915466
no_direct_relation,descents,peaks,101,17,False,block_03,0.3489048670031578
no_direct_relation,descents,peaks,101,17,False,block_04,0.21516030980489192
no_direct_relation,descents,peaks,101,17,False,final_norm,0.21535751476219328
no_direct_relation,descents,peaks,101,42,False,embedding,0.8267327032095039
no_direct_relation,descents,peaks,101,42,False,block_01,0.6692576942417059
no_direct_relation,descents,peaks,101,42,False,block_02,0.5794036751685384
no_direct_relation,descents,peaks,101,42,False,block_03,0.5480908805490956
no_direct_relation,descents,peaks,101,42,False,block_04,0.2718297365554584
no_direct_relation,descents,peaks,101,42,False,final_norm,0.24538588136109687
no_direct_relation,descents,peaks,101,101,True,embedding,0.851676196413983
no_direct_relation,descents,peaks,101,101,True,block_01,0.5619821947612381
no_direct_relation,descents,peaks,101,101,True,block_02,0.5819088497761385
no_direct_relation,descents,peaks,101,101,True,block_03,0.5979280449934569
no_direct_relation,descents,peaks,101,101,True,block_04,0.3097628132913215
no_direct_relation,descents,peaks,101,101,True,final_norm,0.22360544186521972
no_direct_relation,descents,valleys,17,17,True,embedding,0.7973760295375184
no_direct_relation,descents,valleys,17,17,True,block_01,0.48531201908679045
